LSOA,LSOA_name
E01011372,"Stratford Street, Beverleys"
E01011662,"Foundry Mill Terr, Brooklands"
E01011368,"Crosby St, Recreations, Bartons"
E01011363,"Holdforths, Clyde Approach,"
E01011625,"St Hildas, Copperfields, Gartons"
E01011427,"Easterly Grove, St Wilfrids"
E01033021,Upper Accommodation Rd
E01011726,"Gamble Lane, Tong Drive, Stonecliffes, Hall Lane"
E01011448,"Hyde Park Road, Royal Park Road, Brudenell St"
E01011341,"Veritys, Dunhills"
E01011319,"Barkly Road, Allenbys, Athas"
E01011597,"Galloway Lane, Moorland Rd, Ederoyd Cres"
E01011267,"West Queensway, Greenbottom"
E01011477,"Eden Cres, Beecroft St, Sandford Rd"
E01032489,"Albert Rd, Denshaw Dr, Troy Rd"
E01011287,Spring Valleys
E01011388,"Cookridge Hospital, Haven Chase, Eaton Hill"
E01011651,"Birchwood Hill, West Park Dr, Roman Ave"
E01011445,"Pearson Grove, Chestnut Road, Welton Mount"
E01011383,"Raynels, The Drive"
E01011329,"Calverleys, Cambridge Gardens, Whitecote Rise"
E01011642,"Glehow Lane, Gledhow, Wood Rd, Well House Rd"
E01032496,Robin Hood
E01033015,"Granary Wrf, Whitehall Waterfront"
E01011605,Windmill Hill
E01011694,"Becketts Parks, St Chads"
E01011522,"Gildersome Town St, Highfield Close"
E01011397,Meadow Road / Firthfields (East Garforth)
E01011353,"Montreal Ave, Gledhow Parks, Roxholmes"
E01011271,"Fieldhead, Hawkstones"
